更新时间,#genre#
2026-01-31 00:58:15,#genre#

央视频道,#genre#
CCTV1,http://223.93.142.35:4022/rtp/233.50.201.222:5140
CCTV1,http://223.93.142.35:4022/rtp/233.50.200.99:5140
CCTV1,http://223.93.142.35:4022/rtp/233.50.200.130:5140
CCTV1,http://223.93.142.35:4022/rtp/233.50.200.143:5140
CCTV1,http://171.122.196.44:8085/rtp/226.0.2.153:9136
CCTV1,http://115.171.216.84:4000/rtp/225.1.8.1:8008
CCTV1,http://183.220.107.138:4022/rtp/239.11.0.65:5140
CCTV1,http://183.220.107.138:4022/rtp/239.11.0.130:5140
CCTV2,http://223.93.142.35:4022/rtp/233.50.200.25:5140
CCTV2,http://223.93.142.35:4022/rtp/233.50.200.100:5140
CCTV2,http://223.93.142.35:4022/rtp/233.50.201.119:5140
CCTV2,http://171.122.196.44:8085/rtp/226.0.2.154:9144
CCTV2,http://115.171.216.84:4000/rtp/225.1.8.2:8084
CCTV2,http://183.220.107.138:4022/rtp/239.11.0.108:5140
CCTV3,http://223.93.142.35:4022/rtp/233.50.201.196:5140
CCTV3,http://223.93.142.35:4022/rtp/233.50.200.107:5140
CCTV3,http://171.122.196.44:8085/rtp/226.0.2.208:9576
CCTV3,http://115.171.216.84:4000/rtp/225.1.8.88:8000
CCTV3,http://183.220.107.138:4022/rtp/239.11.0.101:5140
CCTV4,http://223.93.142.35:4022/rtp/233.50.202.38:5140
CCTV4,http://223.93.142.35:4022/rtp/233.50.200.101:5140
CCTV4,http://171.122.196.44:8085/rtp/226.0.2.156:9160
CCTV4,http://115.171.216.84:4000/rtp/225.1.8.4:8092
CCTV4,http://183.220.107.138:4022/rtp/239.11.0.109:5140
CCTV5,http://223.93.142.35:4022/rtp/233.50.201.108:5140
CCTV5,http://223.93.142.35:4022/rtp/233.50.201.194:5140
CCTV5,http://223.93.142.35:4022/rtp/233.50.200.108:5140
CCTV5,http://223.93.142.35:4022/rtp/233.50.201.227:5140
